Competitor,Angle Category,Hook Copy,Transcript,Visual Style,Nicho,Longevity Tier
Creamy Skincare,Pain-to-Solution,"Se você quer uma pele mais lisa, com poros menos aparentes e textura refinada, o Pore Refiner da Creamy entrega exatamente aquela proposta dos famosos pads coreanos: só que com tecnologia adaptada pra","Poros dilatados, textura de pele, cravos. O segredo pra melhorar tá aqui. Na Coreia do Sul, isso já é um sucesso. E agora a Creamy trouxe pro Brasil. Esse é o Pore Refiner, o Toner Pads da Creamy. Como os Toner Pads coreanos, eles vêm nesse disco de algodão embebidos em puro sérum. Você pode utilizar pra fazer uma esfoliação diária da sua pele. e tratar os seus poros de uma maneira mais tecnológica e eficiente. Olha só que incrível, vem 70 pads. Na formulação, a gente vai ter ácido salicílico a 2%. Então, além de prevenir com que espinhas se formem, ele vai melhorar a parte de oleosidade. E também tem ácido glicólico, AHA. Vai fazer a nossa renovação celular constante e suave, impedindo as células mortas de se acumularem e formar aquela textura de pele, que nem maquiagem esconde. O ideal é você utilizar o Pore Refiner de duas ou três vezes na semana. Pode ser na rotina da manhã ou rotina noturna. E se a sua pele tolerar, você vai aumentando o uso. Eu, por exemplo, gosto de usar na rotina da manhã. Eu não lavo a minha pele, só utilizo o Pore Refiner. Ah, vai no site da Creme e usa o nosso cupom Jardel pra adquirir seu Pore Refiner. E dica especial, se os seus poros estão muito dilatados deixa eles assim por alguns minutinhos e pronto! Você já vai sentir uma sensação de redução de poros imediata. Gostou, né? Olha no site da Creme e te espero lá pra essa nova evolução do skincare.","Aqui está a análise do vídeo:

1.  **Formato visual:** Talking head com aplicação de produto e gráficos animados.
2.  **Iluminação:** Estúdio/Ring Light, bem controlada.
3.  **Foco na pele:** Textura realista no problema, estilizada na solução.
4.  **Paleta de cores:** Azul claro, branco e tons neutros.
5.  **Qualidade de produção:** Semi-profissional com edição e gráficos de alta qualidade.
6.  **Elemento principal de atenção:** Close-ups de poros e a reação inicial do apresentador.",Beleza,Performer
Plato,Benefit/Result,"resinada com atitude, cintura que define 🎀","A calça é resinada, mas babado dessa nova coleção entre estações em três cores. Arrume-se comigo primeiramente com a preta. Blusa, tricô, ombro único, um cinto e uma bota e amor! Que look é esse? Essa calça é aquela calça que no meio do ano você vai falar, por que eu não comprei? Essa elasticidade lindíssima, então voa, tá? Mas é claro, tem mais cores agora na café. Nossa! Com esse body no tricô modal e um cinto, um tom mais claro. Lindíssima! E pra te ajudar ou dificultar, porque eu sei que você quer uma de cada cor, essa tonalidade de nude, adicionei com cinto coro legítimo, um tricô mais básico e um tênis. Amor, clica aqui agora pra garantir antes que fique sem a sua.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto / Lifestyle
2.  **Iluminacao:** Misto (principalmente luz natural com pontos de luz interna)
3.  **Ambiente:** Interno (apartamento ou casa moderna)
4.  **Paleta de cores:** Neutros, terrosos, sofisticado
5.  **Qualidade de producao:** Estúdio profissional (apesar do ambiente doméstico)
6.  **Elemento principal de atencao:** A modelo e os múltiplos looks apresentados",Moda,Long-Runner
Beleza Brasileira,Social Proof,O seu pré treino favorito é de passar ✨💁🏼‍♀️,"Música Pra mim, pra mim Que tu deje a ti que te olhe","Aqui está a análise:

1.  **Formato visual:** Aplicação de produto e cenas de estilo de vida fitness.
2.  **Iluminação:** Mista, iniciando com luz natural e depois artificial ambiente.
3.  **Foco corporal:** Aplicação do produto na barriga e nas coxas.
4.  **Paleta de cores:** Azul vibrante, branco, toques de amarelo.
5.  **Qualidade de produção:** Semi-profissional, com boa estabilidade e edição.
6.  **Elemento principal de atenção:** A demonstração do uso do ""pré-treino de passar"" e o físico da modelo.",Beleza,Performer
Creamy Skincare,Offer/Urgency,"Quando a pele chama, o time inteiro responde 😂🦸‍♀️🦸‍","Eu não apareci do nada. A pele tá aqui, cheia de inflamação e eu tentando expilir isso pra ajudar e o que eu ganho em troca. Tentaram me secar, me esconder, mas ninguém tratou a causa. Agora só de raiva eu vou voltar e trazer minhas irmãs de reforço! Xiii, gente. Quanto drama. Não é mais fácil pedir um adapalenato da Creamy? Ada, o quê? Quem é esse? Sou eu Não adianta lutar contra a espinha Precisamos organizar a pele Eu atuo na renovação celular Gente, desculpa me meter Mas vocês têm alguma coisa pra me ajudar também? Vixe, melhor chamar a Creamy inteira pra essa mulher Ainda bem que tem promoção no site Tchau","Aqui está a análise do vídeo:

1.  **Formato visual:** Narrativa animada com personificação de produtos e condições de pele.
2.  **Iluminação:** Estilizada para o ambiente animado, com efeitos dramáticos e brilhos.
3.  **Foco na pele:** Estilizada com representação clara e exagerada de texturas e condições.
4.  **Paleta de cores:** Vibrante, contrastante e com transições de humor visíveis.
5.  **Qualidade de produção:** Estúdio profissional, animação 3D de alta qualidade.
6.  **Elemento principal de atenção:** A narrativa emocional e os personagens animados.",Beleza,Long-Runner
Live!,Benefit/Result,Pega aí uma inspiração pra transformar seu #sport num fashion #sportfashion,Música Legenda Adriana Zanotto,"Aqui está a análise:

1.  **Formato visual:** Lifestyle fitness e showcase de moda atlética/athleisure.
2.  **Iluminação:** Mista, com predominância de luz natural e ambiente.
3.  **Ambiente:** Casa moderna ou lounge, com muita vegetação.
4.  **Paleta de cores:** Neutras, verde e preto.
5.  **Qualidade de produção:** Profissional, com edição e cinematografia de alta qualidade.
6.  **Elemento principal de atenção:** A modelo, sua forma física e os múltiplos looks.",Wellness,Long-Runner
Growth Supplements,Benefit/Result,"Adicione a Creatina na sua rotina diária, conheça os benefícios deste suplemento e veja os resultados aparecerem","Como tomar a creatina e como comprar a certa? Pra não ter erro, tá? Vocês vão tomar aqui, ó, de 5 a 6 gramas diariamente da sua creatina todos os dias, mesmo nos dias que você não vai terminar. Tem 5 a 6 gramas, no caso da Growth aqui, ó, mais ou menos 4 scoops diariamente, tá? E pra comprar certa não tem erro. Você vai comprar de uma marca de qualidade, como da Growth, direto no site deles, que aí não tem erro. Então se você quer pegar uma creatina top, não errar, clica no link aqui embaixo.","Aqui está a análise:

1.  **Formato visual:** UGC talking head com exibição do produto.
2.  **Iluminação:** Mista, com boa luz frontal e ambiente de academia.
3.  **Ambiente:** Academia.
4.  **Paleta de cores:** Escura, com detalhes em roxo e vermelho.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** O apresentador (homem) e o produto que ele exibe.",Wellness,Solid
Beleza Brasileira,Pain-to-Solution,O pré e pós treino que mudam todo o resultado,"Você treina todo dia, né? Mas saiba que o seu treino tá incompleto. Musculação, cardio, dieta, sai da academia, toma cheio de proteína, tenho certeza. Mas a pele, você cuida da sua pele? Não sei. Celulite, flacidez, estria, isso não sai no agachamento, não. Isso não sai lá no sumô, não. Mas eu acho que isso você sabe, né? Antes de treinar, barriguinha cream da beleza brasileira. Ele tem ação crioterapia, ele ativa a microcirculação, prepara a pele pro esforço. Você sente, é diferente. Seu treino começa aqui. E depois do treino, o Boom Boom Creme Ele traz firmeza, redução de celulite Combate também o pelo encravado É aquela sensação que ativa, aquece Você sente que o produto está trabalhando por você É o seu treino continuando ali na sua pele Treino bom é o que cuida do músculo, mas também da pele Antes e depois do treino todos os dias Agora sim o seu treino vai ficar completo","Aqui está a análise:

1.  **Formato visual:** UGC talking head e aplicação de produto.
2.  **Iluminação:** Natural e orgânica, com boa luminosidade ambiente.
3.  **Foco corporal:** Aplicação dos produtos no abdômen e nas pernas/glúteos.
4.  **Paleta de cores:** Clara, neutra, suave.
5.  **Qualidade de produção:** Semi-profissional, com edição limpa.
6.  **Elemento principal de atenção:** A demonstração prática dos produtos e seus efeitos visíveis na pele.",Beleza,Performer
Live!,Offer/Urgency,muito além das roupas de treino @liveoficial pra versatilidade do dia a dia 🤎☕️,Música E aí,"Aqui está a análise do vídeo:

1.  **Formato visual:** Produto em uso com foco em lifestyle fitness.
2.  **Iluminação:** Principalmente natural e orgânica, com luz do sol suave ou direta.
3.  **Ambiente:** Cenários mistos: casa (cozinha) e externo (rua, parque).
4.  **Paleta de cores:** Tons terrosos, neutros e naturais.
5.  **Qualidade de produção:** Estúdio profissional, com edição estilizada.
6.  **Elemento principal de atenção:** A modelo, seu estilo de vida e o copo térmico.",Wellness,Solid
Plato,Product Experience,calça skinny resinada que define a silhueta com personalidade 🖤,"Aproveitando, vou tirar a jaqueta pra mostrar nada mais nada menos que a nossa calça é resinada e uma proposta, dando ênfase somente nela. Eu amo composições assim com a nossa calça, que a gente coloca só duas peças básicas, porém essa blusa também, ela fica tão linda. Ela tem o detalhe aqui das pregas na lateral, esse drapeado. Ela tem, é sombreira lindíssima, super chique. Dá pra vocês utilizarem tanto em uma proposta, mas a cara do inverno, Como esse look aqui, adicionar em um cachecol aqui, a moita pronta. Ou vocês também poderiam colocar ela em uma versão mais dia a dia, mais formal. Uma calça alfaiataria que comporta super. E olha o quanto a nossa calça veste super bem. Esse bolso, não, isso aqui, amor. Olha isso, o quanto a coça dela é bem alto, tem elastano, tá? É uma calça que vai te atender muito bem. Vai simplificar os seus looks nesse inverno.","Aqui está a análise:

1.  **Formato visual:** UGC Talking Head e Showcase de Produto.
2.  **Iluminação:** Misto. Predominantemente luz artificial quente e linear, com entrada de luz natural da janela.
3.  **Ambiente:** Interno (provável sala de estar/jantar).
4.  **Paleta de cores:** Tons terrosos quentes.
5.  **Qualidade de produção:** UGC Casual (gravado com smartphone).
6.  **Elemento principal de atenção:** A modelo e o look monocromático em marrom.",Moda,Testing
Live!,Offer/Urgency,"Você não está desanimada com os treinos, só precisa de um lookinjo novo 🤭🩵",E aí,"Aqui está a análise do vídeo:

1.  **Formato visual:** Lifestyle fitness com produto em uso.
2.  **Iluminação:** Natural/Orgânica, sob luz solar direta e brilhante.
3.  **Ambiente:** Externo, em um ambiente arquitetônico moderno.
4.  **Paleta de cores:** Azul-claro, fresco e clean.
5.  **Qualidade de produção:** Profissional, com boa edição e gravação.
6.  **Elemento principal de atenção:** A modelo, sua energia e a apresentação dos conjuntos de activewear.",Wellness,Performer
Insider Store,Product Experience,"Dica de aerolook confortável, lindo, com a @insiderstore","Compartilhei recentemente com vocês minhas novas comprinhas da Insider e claro chegou a hora de montarmos um look lindo com essas peças. Temos aqui uma calça super confortável, bem linda, então já pensei em um aero look ou um look confortável para o dia a dia mesmo. Então pega pipoca e bora lá comigo. Minha base do look já tá feita, tô aqui com o Perfect Top, não tiro mais ele do corpo gente, já providenciei outra cor. Detalhe que essa calça é extremamente confortável, última aquisição. E ela é uma wide leg, só que é um pouquinho mais curta. Eu diria que é uma wide leg cropped. Muito gostosa, bem acinturadinha aqui na parte de cima. Tem aquele elástico que não fica apertado, nem desconfortável. O legal é que ela mantém temperatura do corpo, então já pensei em um aero look, porque agora final de ano a gente sempre faz viagens, mas também pro dia a dia, pra correria, ela é top. O que eu gostei também pro aero look é que ela não fica encostando a barra no chão. Então isso é sensacional. Você não fica arrastando e trazendo sujeira pro seu look. Para os pés, vou colocar um tênis estilinho chuteirinha mais baixinho bem tranquilinho tamb e bem confort porque esse o lema do nosso look de hoje Conforto Estou usando o tamanho P da cal ficou maravilhosa E do top eu uso o tamanho M t meninas Vamos pensar que para um aero look a gente precisa de uma blusa de manga longa. Então também escolhi essa da Insider. Ela é bem gostosa, também mantém a temperatura do corpo extremamente macia por dentro. E tem essa leve textura por fora. Olha que gostosa. Então vou colocar ela nos ombros, como a gente já sabe, para trazer aquele charme para o nosso look também. Nossa bolsa aqui não pode faltar E temos aqui o nosso Aerolook, look pro dia a dia Correria, extremamente confortável Muito bem vestida Olha só que lindeza Gente, eu amei essas peças Mais uma vez a Insider me surpreendeu Confesso pra vocês que eu queria muito a cor branca dessa calça Mas como não tinha, eu apostei na azul É uma cor clássica, combina com tudo Então, já amei Agora no mês de dezembro tá rolando Até 30% de desconto Com o meu cupom direto no link que você pode pedir nos comentários Então, se você gostou, curte aqui pra eu saber. E, claro, se quiser algum link, é só pedir aqui que eu envie pra você. Beijinhos e até o próximo vídeo.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / Product showcase.
2.  **Iluminacao:** Misto – ambiente claro com luz natural abundante e preenchimento suave.
3.  **Ambiente:** Interno, em um quarto ou sala bem decorado.
4.  **Paleta de cores:** Neutra, com tons terrosos e pastéis.
5.  **Qualidade de producao:** Semi-profissional.
6.  **Elemento principal de atencao:** A apresentadora e as peças de roupa.",Moda,Long-Runner
Live!,Education,Novo aplicativo LIVE,"Estou aqui fazendo minhas compras no aplicativo da Live. Aliás, você sabia que a Live agora tem um aplicativo para facilitar a nossa vida e as nossas escolhas? Mais do que comprar é fazer parte de uma nova jornada.","Aqui está a análise do vídeo:

1.  **Formato visual:** Lifestyle fitness, produto em uso, UGC-style.
2.  **Iluminação:** Natural e orgânica, vinda da luz do dia.
3.  **Ambiente:** Casa e ambiente externo (varanda com natureza exuberante).
4.  **Paleta de cores:** Tons neutros, terrosos e pastéis.
5.  **Qualidade de produção:** Semi-profissional (com estética UGC intencional).
6.  **Elemento principal de atenção:** A modelo/influencer e as roupas que ela veste.",Wellness,Testing
Creamy Skincare,Benefit/Result,Barreira cutânea fragilizada muda tudo na pele,"Gente, isso aqui tá sensacional. Você já conhece esses dois produtinhos aqui, certo? Eu também. Eles dominam o mercado de recuperação da barreira cutânea e de glass skin. Mas isso aqui veio pra mexer com tudo. Meu nome é Atos Martini, sou dermatologista especialista pela USP e vou contar uma coisa pra vocês. Ceramide Skin Repair conseguiu melhorar a formulação nessa categoria porque ele não foi pensado só pra acalmar a pele como os outros. A formulação dele inclui hidratação inteligente com reposição de lipídios. Tudo de forma biomimética, ou seja, numa proporção igual à da pele saudável, com ceramidas, colesterol, ácidos graxos e além disso ainda, eles incluíram prata na composição que tem uma ação de controle bacteriano na prática, gente, isso é excelente pra quem usa ácido, por exemplo pra quem tá com a pele sensibilizada, vermelha, repuxando, descamando porque não adianta, e não adianta mesmo você usar ácido e achar que a sua pele vai melhorar só com isso porque se você não usar esse produto, a sua pele não vai melhorar a sua barreira vai danificar e o ácido não vai fazer o efeito dele ele é ótimo também pra quem quer dormir com uma máscara feita com ele à noite e ter esse efeito de glass skin no dia seguinte que tá super na moda e as celebridades estão todas fazendo Você acorda com a pele assim, saudável, com vício. Então ele conseguiu juntar uma formulação mais sofisticada com um custo-benefício muito competitivo. Por isso, escreve o que eu tô dizendo. Esse hidratante tem tudo pra ser o novo queridinho da barreira cutânea. Quem aí de vocês já usou esse creme e tá curioso pra testar? Me conta aqui nos comentários.","Aqui está a análise:

1.  **Formato visual:** Talking head e aplicação de produto.
2.  **Iluminação:** Iluminação de estúdio/ring light, suave e controlada.
3.  **Foco na pele:** Textura de pele realista e visível.
4.  **Paleta de cores:** Neutras, claras e naturais.
5.  **Qualidade de produção:** Produção de estúdio profissional, com alta qualidade visual e sonora.
6.  **Elemento principal de atenção:** O dermatologista explicando o produto e seus benefícios científicos.",Beleza,Long-Runner
Plato,Benefit/Result,saia longa acetinada com fenda que eleva qualquer produção 🤍,"Uau, que saia acetinada de lançamento é essa, amor. Esgotando em 3, 2, 1. Além dessa tonalidade, a gente tem mais 4 cores disponíveis no site, tá? Ela tem um acetinado super encorpado. Então fiquem despreocupadas que não é aquele acetinado fininho, sabe? Vai ficar marcando. Pelo contrário, olha o quanto veste super bem. Tem a finda aqui na lateral. A aplicação em renda perfeita. O cos dela tem um elástico aqui embutido, tá? que ajuda a facilitar a servir mais tamanhos. E se você amou essa peça, corre, clica aqui pra garantir antes que você fixe a sua look, os nossos lançamentos são limitados e esbota tudo muito rápido.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / showcase de produto.
2.  **Iluminação:** Mista, com foco em luzes embutidas no teto para clareza.
3.  **Ambiente:** Interno, em uma cozinha/sala de jantar moderna.
4.  **Paleta de cores:** Neutros, terrosos, tons de marrom.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora e a saia em destaque.",Moda,Testing
Plato,Benefit/Result,blusa de tricot bufante que já é o look do dia 🎀,"E sem a jaqueta de couro, eu quero mostrar pra vocês tanto os detalhes só da nossa blusa e da calça, quanto também relembrar vocês que esse é o nosso conjunto suede, tá? Ele vai com esse colete. Olha isso. Lindo! Pra você garantir junto, tá? Eu amo o azul marinho junto com o caramelo. Nossa, eu acho que dá um match lindíssimo. Adicionei o nosso cinza em couro legítimo, como eu já mostrei pra vocês. E essa blusa, amor, olha isso. maravilhosa isso daqui vai esgotar em minutos no site, depois ó, não diga que eu não te avisei tá, então já corre pra garantir a sua, antes que você veja lá esgotado esgotado e se clotando o nosso direto, portanto você vai chegar em posição já corre e vem garantir a sua um beijo","Aqui está a análise:

1.  **Formato visual:** Showcase de produto
2.  **Iluminação:** Misto, combinando spots no teto com uma luz frontal suave e uniforme.
3.  **Ambiente:** Interno (sala de estar/jantar moderna).
4.  **Paleta de cores:** Terrosos, azul-marinho e neutros.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A mulher e sua expressividade, destacando o look.",Moda,Testing
Plato,Product Experience,macacão que veste com leveza e tem presença de sobra ⭐,"Agora, uau pra esse amarelo-manteiga, em uma combinação bem mais clarinha. Olha o quanto esse amarelo tá lindo. Às vezes pra quem tem aquela dúvida, ah, será que o amarelo-manteiga é pra mim? Que a cor, assim, pra mim é a cor do ano, tá? Fica aqui claro que sim, ele é pra você. E caso você prefira uma tonalidade um pouco mais clarinha, esse aqui é surreal. que ele lembra, assim, a estética do amarelo-manteiga, porém, com um leve toque, quase de um off, um branco, que tá, assim, surreal. Adicionei com um escarpão, uma bolsa, trazendo uma proposta até um tanto quanto diferente pra vocês, e com cinto, que faz parte da nossa nova coleção. Esse cinto, amor, olha isso, lindíssimo, e também bracelete, que também faz parte da nossa nova coleção. Nossa, esse macacão é tudo! Aproveitem essa emoção, hein? Porque assim, não tá adorando nada No nosso estoque","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head / showcase de produto
2.  **Iluminação:** Natural/Orgânico, predominantemente da janela
3.  **Ambiente:** Interno (sala ou quarto decorado)
4.  **Paleta de cores:** Amarelo pastel, dourado, turquesa
5.  **Qualidade de produção:** UGC casual (bem produzida)
6.  **Elemento principal de atenção:** A apresentadora e seu look",Moda,Solid
Plato,Benefit/Result,blusa de tricot bufante que já é o look do dia 🎀,"Lançamento em nova cor da nossa blusa tricô modal manga bufantes de apenas 149. Olha que composição chique que eu montei aqui com ela. Com a nossa calça que faz parte de um conjunto, tá? Em alfetaria com blazer. Então, se você amou, corre e clica aqui pra garantir, porque essa blusa é chegar à reposição e esgotar, tá? E agora vieram várias cores de lançamento lindíssimas, além das cores de reposição. Então, aproveitem. Clica aqui agora pra garantir a sua 1.7.7.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC lifestyle / talking head (através do espelho)
2.  **Iluminação:** Natural/Orgânica. A luz é suave e uniforme, parecendo vir de uma grande janela fora da câmera, complementada por iluminação ambiente interna.
3.  **Ambiente:** Interno (residencial, sala de jantar/estar)
4.  **Paleta de cores:** Neutra, terrosa, elegante.
5.  **Qualidade de produção:** Semi-profissional (com toque de UGC).
6.  **Elemento principal de atenção:** A mulher e o look completo, com destaque para a blusa de mangas bufantes e o detalhe da calça.",Moda,Testing
Live!,Offer/Urgency,Descontos Progressivos de Até 40% Off,E aí,"Aqui está a análise:

1.  **Formato visual:** Modelo em pose estática exibindo vestuário.
2.  **Iluminação:** Iluminação de estúdio profissional e controlada.
3.  **Ambiente:** Estúdio com fundo cinza neutro.
4.  **Paleta de cores:** Neutra, minimalista, preto e cinza.
5.  **Qualidade de produção:** Estúdio profissional e polido.
6.  **Elemento principal de atenção:** O modelo e o vestuário esportivo em destaque.",Wellness,Killed
Insider Store,Benefit/Result,Viajei esses dias e resolvi dividir minhas dicas de mala,"Acabamos de chegar de férias e eu vou mostrar pra vocês alguns visuais que eu levei nesta viagem, que vocês estavam perguntando. E aí depois eu mostro o que eu acho importante levar nas férias pras crianças, que eu levei pra Lulu e pro José Vicente. E gente, eu aprendi que mala inteligente não é mala cheia, é mala com peças que realmente funcionam. Essa aqui, por exemplo, eu uso no avião, uso pra passear, uso pra jantar mais arrumadinha, Desamassa no corpo, é confortável e aguenta o dia inteiro Esse daqui, o Perfect Top, ele é muito legal porque, gente, ele fica muito bonito no corpo Essa aqui eu já gosto porque é básica, mas fica muito bonita no corpo Eu consigo usar com tênis durante o dia e só trocar o sapato à noite E, gente, não preciso me preocupar se vai marcar, se vai esquentar demais ou se vai perder a forma Então, quando a roupa facilita, eu economizo tempo, espaço e energia E a Insider acompanha o meu ritmo até fora de casa. E o meu cupom MAJUMENDONÇA dá 20% OFF para novos clientes e 10% OFF para quem já comprou. E ainda soma com os descontos do site. Depois eu volto com a parte 2. Beijo!","Aqui está a análise:

1.  **Formato visual:** UGC talking head e showcase de produto.
2.  **Iluminação:** Natural/Orgânico. A iluminação é suave e uniforme, como a de um ambiente doméstico bem iluminado.
3.  **Ambiente:** Interno.
4.  **Paleta de cores:** Neutra e sofisticada.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** A mulher (apresentadora) e sua interação direta.",Moda,Long-Runner
Live!,Offer/Urgency,meu mini treino de transição de hoje 🚴➡️🏃‍♀️‍➡️,Oh Oh,"Aqui está a análise:

1.  **Formato visual:** Produto em uso / Lifestyle fitness.
2.  **Iluminação:** Abundante luz natural vinda da janela, criando um ambiente claro e arejado.
3.  **Ambiente:** Interior de uma casa moderna/residência de luxo com vista para a natureza.
4.  **Paleta de cores:** Neutros, terrosos e orgânicos.
5.  **Qualidade de produção:** Profissional, com imagem de alta qualidade e edição limpa.
6.  **Elemento principal de atenção:** O produto (bermuda com seis bolsos) e sua funcionalidade.",Wellness,Long-Runner
Growth Supplements,Benefit/Result,Whey Protein com qualidade que você sente no resultado,"Você toma Whey Protein de marca duvidosa? Whey Protein duvidoso? Na verdade, você tá tomando sabor Whey Protein. Porque Whey Protein é um centrado de verdade da Growth. Whey da Growth são 30 gramas de dose e 23 gramas de proteína até 24 gramas. Quantos gramas tem a sua embalagem desse seu Whey duvidoso sabor Whey Protein? A Growth tem 1kg. Contra, talvez, os 900g. Um detalhe. Sempre aprovado em todos os laudos de qualidade. Sempre. Então, acorda. Para de comprar Whey Duvidoso. Para de ficar no sabor Whey Protein. E vem pra Growth. Porque aqui, realmente, você compra. Da fábrica, direto ao consumidor. Clique aqui. E bora começar 2026 do jeito certo. Legenda Adriana Zanotto","Aqui está a análise do vídeo:

1.  **Formato visual:** Talking head com produto exibido e texto dinâmico.
2.  **Iluminação:** Misto (principalmente estúdio/ring light com luz natural de fundo).
3.  **Ambiente:** Casa (sala de estar moderna).
4.  **Paleta de cores:** Brilhante, azulado e vermelho.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** O apresentador carismático e o produto.",Wellness,Killed
Live!,Social Proof,A energia que move seu treino começa no que você veste,E aí,"Aqui está a análise:

1.  **Formato visual:** Lifestyle fitness com produto em uso.
2.  **Iluminação:** Mista, com contrastes acentuados.
3.  **Ambiente:** Estúdio e ambiente urbano externo.
4.  **Paleta de cores:** Tons terrosos, neutros e sofisticados.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** Os modelos e a atitude de confiança.",Wellness,Long-Runner
Creamy Skincare,Pain-to-Solution,"A Creamy tem soluções completas para acne, poros, manchas, sinais da idade e hidratação","Não use nenhum ácido da Creamy antes de você saber qual que você deve escolher. E é por isso que eu tô aqui pra te ajudar. Meu nome é Jordão Debranço, o melhor amigo da sua pele. Ácido mandélico, ideal pra tratar manchas de acne e acne ativa, aquela mais avermelhada. Ácido tranexâmico, ideal pra manchas de melasma ou manchas solares. Retinol ou retinal vai te ajudar a tratar rugas. Ácido glicólico te ajuda muito com poros e textura de pele regular. Já o ácido salicílico vai te ajudar com excesso de oleosidade e aquele sebo insistente. Você utiliza preferencialmente os ácidos na rotina noturna. E se eles forem em tônico, pode utilizar na rotina da manhã. Logo após a etapa de limpeza da pele. Depois é só hidratar e não esquecer o protetor solar no outro dia. Corre no site da Creamy e use o nosso cupom Jardel ou PrimeiraJardel pra mais descontos se for sua primeira compra. Eu sou o reizinho do skincare de vocês, eu sei disso. E a Creamy é a rainha. A gente tá tudo aqui num reinado, numa pele bonita. Tchau!","1.  **Formato visual:** UGC talking head com overlays gráficos.
2.  **Iluminação:** Natural/Orgânica.
3.  **Foco na pele:** Textura realista (no apresentador).
4.  **Paleta de cores:** Vibrante e limpa.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** O apresentador e a explicação dos produtos.",Beleza,Long-Runner
Creamy Skincare,Benefit/Result,"Com o tempo, a renovação da pele desacelera e a textura muda",Vamos lá.,"Aqui está a análise:

1.  **Formato visual:** Product showcase (UGC-like).
2.  **Iluminação:** Mista, com uma sensação suave e difusa.
3.  **Foco na pele:** Realista, a textura da mão é visível.
4.  **Paleta de cores:** Vibrante, azul e roxo.
5.  **Qualidade de produção:** UGC casual.
6.  **Elemento principal de atenção:** As duas embalagens de produto e o texto sobre elas.",Beleza,Solid
Beleza Brasileira,Pain-to-Solution,As novas embalagens estão TUDOO,"Beleza brasileira está de cara nova Olha que lindo, gente Vou começar aqui pelos meus cremes favoritos Primeiro lugar, Bumbum Cream com ação termogênica Pra quem não conhece, esse creme é o melhor dos melhores Porque ele é um creme hidratante e firmador Que previne pelos encravados e suaviza celulites e estrias Gente, que coisa mais linda O sabonete líquido e hidratante Ele é maravilhoso, eu sou apaixonada Eu tomo banho com ele todos os dias Eu não uso mais sabonete, eu uso apenas esse óleo Temos um lançamento de beleza brasileira O que tava faltando chegou Bruma fixadora de partículas de brilho Tem três tons diferentes pra você ficar bronzeada Pra você fazer aquela make Toda no shine, me for no rosto e no corpo E saiu com aquele bronze dos deuses Temos o manteiga cream, barriguinha cream Ele é ideal pra atividade física Pra você passar na barriga, na perna, onde você quiser E ir pra academia, ele faz aquela ação Estilo drenagem, gurte corporal e o antistria Esse creme aqui, ele é especificamente para gestantes E antistrias, tá bom? E o gurte, creme extremamente cheiroso e hidratante Eu super indico todos eles Quer uma caixa dessa também? Então vou deixar aqui o link e o meu cupom para desconto exclusivo no Beleza Brasileira.","Aqui está a análise:

1.  **Formato visual:** UGC Talking Head / Unboxing e Review.
2.  **Iluminação:** Natural/Orgânico, com luz difusa de uma janela.
3.  **Foco corporal:** Demonstração e descrição de produtos corporais.
4.  **Paleta de cores:** Vibrante, pastel, tropical.
5.  **Qualidade de produção:** UGC casual e bem produzida.
6.  **Elemento principal de atenção:** Entusiasmo da apresentadora e embalagens coloridas dos produtos.",Beleza,Performer
Live!,Benefit/Result,Pega aí uma inspiração pra transformar seu #sport num fashion #sportfashion,Música Legenda Adriana Zanotto,"Aqui está a análise do vídeo:

1.  **Formato visual:** Lifestyle fitness com showcase de moda.
2.  **Iluminação:** Natural/Orgânico.
3.  **Ambiente:** Casa/Lounge sofisticado.
4.  **Paleta de cores:** Neutra, verde vibrante, azul-marinho.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** A modelo e as transformações de looks.",Wellness,Long-Runner
